cell,model,model_label,seed,undiscounted_return,survival,velocity_rmse,yaw_rmse,absolute_mechanical_power
A,native_mlp_w480_240_120,MLP-C,11,33.86363593207465,1.0,0.05181459846595923,0.08030312661495474,53.68770785397953
A,native_mlp_w480_240_120,MLP-C,12,33.92302055358887,1.0,0.05184743668263157,0.08153046054972543,54.81643448670705
A,native_mlp_w480_240_120,MLP-C,13,33.862391238742404,1.0,0.05344717449819048,0.07605384381281005,54.06919225653012
A,pointwise_w252,MLP-D,11,31.12512747446696,1.0,0.05999054906682836,0.11953528105384774,65.66766089995703
A,pointwise_w252,MLP-D,12,31.33599156273736,1.0,0.05861211561908324,0.12591013184024227,58.99200161563026
A,pointwise_w252,MLP-D,13,31.054871135287815,1.0,0.0609475953090522,0.11568385909001032,64.97555897103416
A,gcn_w1107,GCN,11,24.58039657804701,1.0,0.3002366523672309,0.32891377852194836,5.354646574788624
A,gcn_w1107,GCN,12,24.541412258148192,1.0,0.3018337239718272,0.3426434672541089,5.986600309610367
A,gcn_w1107,GCN,13,24.44813272688124,1.0,0.3029100115980125,0.3578255259535379,5.047046583890915
A,multirank_hodge_lower_w177,Hodge-L,11,32.17372510698107,1.0,0.05517427157610655,0.09574078313178486,61.089280762937335
A,multirank_hodge_lower_w177,Hodge-L,12,32.614226510789656,1.0,0.05937032448127866,0.10141244816283385,61.70965702003903
A,multirank_hodge_lower_w177,Hodge-L,13,32.115428903367786,1.0,0.055854373414897254,0.10730343610048294,60.55208182467355
A,multirank_hodge_full_w150,Hodge-F,11,32.08804861704508,1.0,0.05792010642795099,0.09860895164310932,68.13196985059314
A,multirank_hodge_full_w150,Hodge-F,12,32.52550883822971,1.0,0.05749819137983852,0.09949098750948906,62.14694600900014
A,multirank_hodge_full_w150,Hodge-F,13,33.133828438652884,1.0,0.05392332974200447,0.09254242065880033,49.317681186729004
B,native_mlp_w480_240_120,MLP-C,11,16.90239375484399,0.7451230794805042,0.2021010748612318,0.3366570800967205,71.00222334012321
B,native_mlp_w480_240_120,MLP-C,12,16.990374573520597,0.6767133028975237,0.201949923961161,0.3541316793255382,82.70564201894001
B,native_mlp_w480_240_120,MLP-C,13,16.790801111087127,0.6592684468959762,0.2111403340256387,0.3420372818368331,81.32546789843344
B,pointwise_w252,MLP-D,11,13.9536646794687,0.5492472418154446,0.20531005654936396,0.465382309199566,84.23683959111294
B,pointwise_w252,MLP-D,12,13.419700715894374,0.5978450213270597,0.210064716622681,0.45890088541049256,70.72625862939769
B,pointwise_w252,MLP-D,13,14.235059848431657,0.5541351077567834,0.20961233607661975,0.48807736455222117,68.28484148250686
B,gcn_w1107,GCN,11,13.282742306118095,0.6961113075891001,0.33700746268024456,0.5340856394178033,18.83653123735683
B,gcn_w1107,GCN,12,12.72114265741819,0.6792423281410515,0.35292739231661,0.6078763583155883,43.26368446598357
B,gcn_w1107,GCN,13,12.97843478181643,0.7213962186202346,0.3360787904033359,0.5103312090275481,14.65711470730087
B,multirank_hodge_lower_w177,Hodge-L,11,15.65259095045913,0.6165893843117021,0.18824617131241547,0.37366444339266336,65.08092440185419
B,multirank_hodge_lower_w177,Hodge-L,12,14.284420201681451,0.6028991359447444,0.21430724825285452,0.42762221187083227,74.34707621938348
B,multirank_hodge_lower_w177,Hodge-L,13,16.026235283224704,0.6659476023159591,0.18276593305856573,0.351084964988215,57.70279740501719
B,multirank_hodge_full_w150,Hodge-F,11,16.505324344487928,0.6083070365477677,0.2065454469005654,0.4274022159195553,67.63847322285004
B,multirank_hodge_full_w150,Hodge-F,12,14.277649661528487,0.5763885803812654,0.20614964380258843,0.43768656054537913,63.61857217192159
B,multirank_hodge_full_w150,Hodge-F,13,15.980408104657332,0.6261993794416755,0.2081707862670013,0.39830483626777524,54.55720034750386
C,native_mlp_w480_240_120,MLP-C,11,25.075637711419,1.0,0.30625516833323574,0.21657873292764027,10.988387935029136
C,native_mlp_w480_240_120,MLP-C,12,24.668871773613823,1.0,0.30694776614093117,0.2747058756235573,11.920515214734607
C,native_mlp_w480_240_120,MLP-C,13,24.820348993937174,1.0,0.3052596858081718,0.121148412509097,10.97337507141961
C,pointwise_w252,MLP-D,11,25.092692459954154,1.0,0.30243306453857155,0.09857559659414822,9.373715637789832
C,pointwise_w252,MLP-D,12,24.663089741600885,1.0,0.3083184290573829,0.46725059126814206,3.896911713812086
C,pointwise_w252,MLP-D,13,24.471735699971518,1.0,0.310699360890107,0.0927439025706715,8.887363743782043
C,gcn_w1107,GCN,11,23.842184448242186,1.0,0.30659340286834375,0.3614009285138713,2.4519723382261063
C,gcn_w1107,GCN,12,23.643243906233046,1.0,0.30785539980149934,0.39488476485841806,2.7381820420424146
C,gcn_w1107,GCN,13,24.005506303575302,1.0,0.30755754842733346,0.39172739423811437,2.71082363459799
C,multirank_hodge_lower_w177,Hodge-L,11,24.64785041809082,1.0,0.3106653049795164,0.10303253183762233,7.317603067557017
C,multirank_hodge_lower_w177,Hodge-L,12,24.733877234988743,1.0,0.31045544089542493,0.5214791042523251,4.053594819704691
C,multirank_hodge_lower_w177,Hodge-L,13,25.228686396280924,1.0,0.3107457630853686,0.5203996339191993,3.9332071165243785
C,multirank_hodge_full_w150,Hodge-F,11,27.534964307149252,1.0,0.1832007179243697,0.11601576126284069,41.529421544075014
C,multirank_hodge_full_w150,Hodge-F,12,25.281807306077745,1.0,0.2888247971629931,0.08429463369150957,11.417582029766507
C,multirank_hodge_full_w150,Hodge-F,13,28.683755599127874,1.0,0.18774522708521948,0.10585943431489997,43.058635381857556
D,native_mlp_w480_240_120,MLP-C,11,20.007449441690916,0.8748218131481008,0.325035092792232,0.3159175066020949,13.059260548349256
D,native_mlp_w480_240_120,MLP-C,12,19.46864291474786,0.8586456446329342,0.32547070582277426,0.38862319965295755,13.00953691250213
D,native_mlp_w480_240_120,MLP-C,13,20.46651228662841,0.9028777548198267,0.32004715831754493,0.20980701064959228,13.95247636550285
D,pointwise_w252,MLP-D,11,19.35514864044244,0.8817270194047678,0.311191235108439,0.20527096528531819,16.83525815753958
D,pointwise_w252,MLP-D,12,17.219525508435776,0.7711286230946304,0.3264224360652548,0.4881852583804769,9.451386896398674
D,pointwise_w252,MLP-D,13,17.874893698696017,0.8220670315669182,0.3227047080279543,0.22183834762542545,17.277370541152074
D,gcn_w1107,GCN,11,15.53403416530665,0.7351067563499486,0.3396034939406711,0.49307177900670585,6.978353916532099
D,gcn_w1107,GCN,12,15.111460976508393,0.7235572367743163,0.3374328936510402,0.5196760218511871,7.543215171710885
D,gcn_w1107,GCN,13,15.391328339862635,0.7310614831291171,0.3385084119067107,0.5221987252359417,7.7127813354493195
D,multirank_hodge_lower_w177,Hodge-L,11,20.680506441870115,0.934619199620528,0.31550281239037165,0.16987003765994232,13.332914053338664
D,multirank_hodge_lower_w177,Hodge-L,12,17.567973201393237,0.7787739974742635,0.3304353902823301,0.5425802383358631,8.475819147227039
D,multirank_hodge_lower_w177,Hodge-L,13,17.577154596414406,0.7882461947321818,0.3278844855545691,0.5036764058716036,7.556280571450496
D,multirank_hodge_full_w150,Hodge-F,11,22.571312926772926,0.931731171296866,0.2331864988044532,0.167858249874311,36.665252606572764
D,multirank_hodge_full_w150,Hodge-F,12,21.71090082327238,0.9513759956925909,0.2927024073900128,0.14442320843729511,17.21341592045344
D,multirank_hodge_full_w150,Hodge-F,13,22.929823620634043,0.9272853553410927,0.22904549444305441,0.17453696129685412,39.77573210019054
