cell,model,undiscounted_return_mean,undiscounted_return_sd,undiscounted_return_min,undiscounted_return_max,survival_mean,survival_sd,survival_min,survival_max,velocity_rmse_mean,velocity_rmse_sd,velocity_rmse_min,velocity_rmse_max,yaw_rmse_mean,yaw_rmse_sd,yaw_rmse_min,yaw_rmse_max,absolute_mechanical_power_mean,absolute_mechanical_power_sd,absolute_mechanical_power_min,absolute_mechanical_power_max
A,MLP-C,33.883,0.0346506,33.8624,33.923,1,0,1,1,0.0523697,0.000933233,0.0518146,0.0534472,0.0792958,0.00287391,0.0760538,0.0815305,54.1911,0.574155,53.6877,54.8164
A,MLP-D,31.172,0.146304,31.0549,31.336,1,0,1,1,0.0598501,0.00117406,0.0586121,0.0609476,0.120376,0.00516477,0.115684,0.12591,63.2117,3.67075,58.992,65.6677
A,GCN,24.5233,0.0679639,24.4481,24.5804,1,0,1,1,0.30166,0.00134511,0.300237,0.30291,0.343128,0.014462,0.328914,0.357826,5.46276,0.479017,5.04705,5.9866
A,Hodge-L,32.3011,0.272714,32.1154,32.6142,1,0,1,1,0.0567997,0.00225208,0.0551743,0.0593703,0.101486,0.00578167,0.0957408,0.107303,61.117,0.579285,60.5521,61.7097
A,Hodge-F,32.5825,0.525211,32.088,33.1338,1,0,1,1,0.0564472,0.0021959,0.0539233,0.0579201,0.0968808,0.00378293,0.0925424,0.099491,59.8655,9.61239,49.3177,68.132
B,MLP-C,16.8945,0.100019,16.7908,16.9904,0.693702,0.0453785,0.659268,0.745123,0.205064,0.00526299,0.20195,0.21114,0.344275,0.0089497,0.336657,0.354132,78.3444,6.39589,71.0022,82.7056
B,MLP-D,13.8695,0.414148,13.4197,14.2351,0.567076,0.0267588,0.549247,0.597845,0.208329,0.00262428,0.20531,0.210065,0.470787,0.0153207,0.458901,0.488077,74.416,8.59227,68.2848,84.2368
B,GCN,12.9941,0.281128,12.7211,13.2827,0.698917,0.0212165,0.679242,0.721396,0.342005,0.00947085,0.336079,0.352927,0.550764,0.0508665,0.510331,0.607876,25.5858,15.4515,14.6571,43.2637
B,Hodge-L,15.3211,0.917008,14.2844,16.0262,0.628479,0.0331631,0.602899,0.665948,0.195106,0.0168526,0.182766,0.214307,0.384124,0.039326,0.351085,0.427622,65.7103,8.33997,57.7028,74.3471
B,Hodge-F,15.5878,1.16458,14.2776,16.5053,0.603632,0.0252324,0.576389,0.626199,0.206955,0.00107109,0.20615,0.208171,0.421131,0.0204261,0.398305,0.437687,61.9381,6.70059,54.5572,67.6385
C,MLP-C,24.855,0.205579,24.6689,25.0756,1,0,1,1,0.306154,0.000848557,0.30526,0.306948,0.204144,0.0775302,0.121148,0.274706,11.2941,0.54255,10.9734,11.9205
C,MLP-D,24.7425,0.318005,24.4717,25.0927,1,0,1,1,0.30715,0.00425515,0.302433,0.310699,0.219523,0.214558,0.0927439,0.467251,7.386,3.03141,3.89691,9.37372
C,GCN,23.8303,0.181423,23.6432,24.0055,1,0,1,1,0.307335,0.000659663,0.306593,0.307855,0.382671,0.018488,0.361401,0.394885,2.63366,0.157939,2.45197,2.73818
C,Hodge-L,24.8701,0.313477,24.6479,25.2287,1,0,1,1,0.310622,0.000149891,0.310455,0.310746,0.381637,0.241279,0.103033,0.521479,5.10147,1.92017,3.93321,7.3176
C,Hodge-F,27.1668,1.73059,25.2818,28.6838,1,0,1,1,0.219924,0.0597135,0.183201,0.288825,0.102057,0.0161989,0.0842946,0.116016,32.0019,17.8429,11.4176,43.0586
D,MLP-C,19.9809,0.499465,19.4686,20.4665,0.878782,0.0223804,0.858646,0.902878,0.323518,0.00301342,0.320047,0.325471,0.304783,0.0899266,0.209807,0.388623,13.3404,0.530635,13.0095,13.9525
D,MLP-D,18.1499,1.09404,17.2195,19.3551,0.824974,0.0553565,0.771129,0.881727,0.320106,0.00794115,0.311191,0.326422,0.305098,0.158774,0.205271,0.488185,14.5213,4.39627,9.45139,17.2774
D,GCN,15.3456,0.214965,15.1115,15.534,0.729908,0.00586045,0.723557,0.735107,0.338515,0.00108531,0.337433,0.339603,0.511649,0.0161376,0.493072,0.522199,7.41145,0.384535,6.97835,7.71278
D,Hodge-L,18.6085,1.79438,17.568,20.6805,0.83388,0.0873713,0.778774,0.934619,0.324608,0.00798744,0.315503,0.330435,0.405376,0.204879,0.16987,0.54258,9.78834,3.10393,7.55628,13.3329
D,Hodge-F,22.404,0.626447,21.7109,22.9298,0.936798,0.0128195,0.927285,0.951376,0.251645,0.0356172,0.229045,0.292702,0.162273,0.0158148,0.144423,0.174537,31.2181,12.2277,17.2134,39.7757
