model,model_label,strength,mean_return,sd_return
native_mlp_w480_240_120,MLP-C,0.5,24.856,6.50393
native_mlp_w480_240_120,MLP-C,0.25,24.8088,6.49692
native_mlp_w480_240_120,MLP-C,0.2,24.7702,6.49751
native_mlp_w480_240_120,MLP-C,0.15,24.6652,6.49662
native_mlp_w480_240_120,MLP-C,0.1,22.6363,8.44803
native_mlp_w480_240_120,MLP-C,0.075,20.4469,9.75715
native_mlp_w480_240_120,MLP-C,0.05,16.961,11.0185
native_mlp_w480_240_120,MLP-C,0.025,11.851,10.9794
native_mlp_w480_240_120,MLP-C,0.0,6.16182,7.62406
pointwise_w252,MLP-D,0.5,24.7489,6.25649
pointwise_w252,MLP-D,0.25,24.7426,6.25938
pointwise_w252,MLP-D,0.2,24.7033,6.29785
pointwise_w252,MLP-D,0.15,24.2641,6.8342
pointwise_w252,MLP-D,0.1,20.5363,9.01424
pointwise_w252,MLP-D,0.075,17.3912,10.1999
pointwise_w252,MLP-D,0.05,14.2779,10.5594
pointwise_w252,MLP-D,0.025,10.2316,9.54478
pointwise_w252,MLP-D,0.0,6.50954,7.25469
gcn_w1107,GCN,0.5,23.8296,6.73405
gcn_w1107,GCN,0.25,23.829,6.73385
gcn_w1107,GCN,0.2,23.7671,6.85329
gcn_w1107,GCN,0.15,23.0812,7.41473
gcn_w1107,GCN,0.1,18.246,10.2773
gcn_w1107,GCN,0.075,14.7537,11.2757
gcn_w1107,GCN,0.05,11.1306,11.1373
gcn_w1107,GCN,0.025,6.77901,8.67062
gcn_w1107,GCN,0.0,3.66968,5.36858
multirank_hodge_lower_w177,Hodge-L,0.5,24.8608,6.45308
multirank_hodge_lower_w177,Hodge-L,0.25,24.8582,6.45447
multirank_hodge_lower_w177,Hodge-L,0.2,24.849,6.45861
multirank_hodge_lower_w177,Hodge-L,0.15,24.695,6.59178
multirank_hodge_lower_w177,Hodge-L,0.1,21.9324,8.70128
multirank_hodge_lower_w177,Hodge-L,0.075,19.1488,9.90207
multirank_hodge_lower_w177,Hodge-L,0.05,15.1824,10.7891
multirank_hodge_lower_w177,Hodge-L,0.025,10.6651,9.85953
multirank_hodge_lower_w177,Hodge-L,0.0,6.53361,7.54486
multirank_hodge_full_w150,Hodge-F,0.5,27.1581,5.21133
multirank_hodge_full_w150,Hodge-F,0.25,27.1706,5.18178
multirank_hodge_full_w150,Hodge-F,0.2,27.1019,5.19195
multirank_hodge_full_w150,Hodge-F,0.15,26.7522,5.4076
multirank_hodge_full_w150,Hodge-F,0.1,24.8236,7.05432
multirank_hodge_full_w150,Hodge-F,0.075,23.0072,8.45932
multirank_hodge_full_w150,Hodge-F,0.05,19.8158,9.92224
multirank_hodge_full_w150,Hodge-F,0.025,15.6397,10.5345
multirank_hodge_full_w150,Hodge-F,0.0,9.32204,8.92865
