model,model_label,strength,mean_return,sd_return
native_mlp_w480_240_120,MLP-C,0.5,33.8858,1.26895
native_mlp_w480_240_120,MLP-C,0.25,32.8703,3.41062
native_mlp_w480_240_120,MLP-C,0.2,29.7761,7.98863
native_mlp_w480_240_120,MLP-C,0.15,24.0784,12.3701
native_mlp_w480_240_120,MLP-C,0.1,17.1303,14.5405
native_mlp_w480_240_120,MLP-C,0.075,14.7423,14.7135
native_mlp_w480_240_120,MLP-C,0.05,11.9225,13.782
native_mlp_w480_240_120,MLP-C,0.025,5.73868,9.18585
native_mlp_w480_240_120,MLP-C,0.0,1.71875,2.92225
pointwise_w252,MLP-D,0.5,31.1744,1.32113
pointwise_w252,MLP-D,0.25,28.5207,7.54717
pointwise_w252,MLP-D,0.2,25.155,10.9508
pointwise_w252,MLP-D,0.15,19.569,13.6106
pointwise_w252,MLP-D,0.1,14.1454,13.7766
pointwise_w252,MLP-D,0.075,11.3903,13.2365
pointwise_w252,MLP-D,0.05,8.22818,11.7699
pointwise_w252,MLP-D,0.025,4.71494,8.43039
pointwise_w252,MLP-D,0.0,1.90812,3.29626
gcn_w1107,GCN,0.5,24.5232,6.55262
gcn_w1107,GCN,0.25,24.2377,7.15807
gcn_w1107,GCN,0.2,23.584,8.04181
gcn_w1107,GCN,0.15,19.2781,10.549
gcn_w1107,GCN,0.1,12.2915,11.9814
gcn_w1107,GCN,0.075,10.4913,12.0483
gcn_w1107,GCN,0.05,8.38188,10.7358
gcn_w1107,GCN,0.025,5.18049,7.33174
gcn_w1107,GCN,0.0,3.32144,4.97314
multirank_hodge_lower_w177,Hodge-L,0.5,32.307,1.84407
multirank_hodge_lower_w177,Hodge-L,0.25,30.4208,6.84021
multirank_hodge_lower_w177,Hodge-L,0.2,26.96,10.4836
multirank_hodge_lower_w177,Hodge-L,0.15,20.9848,13.681
multirank_hodge_lower_w177,Hodge-L,0.1,15.594,14.5259
multirank_hodge_lower_w177,Hodge-L,0.075,13.3314,14.2627
multirank_hodge_lower_w177,Hodge-L,0.05,9.84513,13.0412
multirank_hodge_lower_w177,Hodge-L,0.025,5.5378,9.64306
multirank_hodge_lower_w177,Hodge-L,0.0,1.84976,3.36356
multirank_hodge_full_w150,Hodge-F,0.5,32.5834,1.70025
multirank_hodge_full_w150,Hodge-F,0.25,31.0864,5.72115
multirank_hodge_full_w150,Hodge-F,0.2,27.1289,10.5604
multirank_hodge_full_w150,Hodge-F,0.15,21.2475,13.6189
multirank_hodge_full_w150,Hodge-F,0.1,15.8375,14.7498
multirank_hodge_full_w150,Hodge-F,0.075,13.6302,14.4951
multirank_hodge_full_w150,Hodge-F,0.05,10.688,13.4361
multirank_hodge_full_w150,Hodge-F,0.025,5.56968,9.55239
multirank_hodge_full_w150,Hodge-F,0.0,1.85394,3.36712
