model,model_label,seed,environment_steps,eval_episode_reward
native_mlp_w480_240_120,MLP-C,11,0,0.0015007836045697331
native_mlp_w480_240_120,MLP-C,11,22937600,18.536209106445312
native_mlp_w480_240_120,MLP-C,11,45875200,20.207416534423828
native_mlp_w480_240_120,MLP-C,11,68812800,25.307533264160156
native_mlp_w480_240_120,MLP-C,11,91750400,26.592819213867188
native_mlp_w480_240_120,MLP-C,11,114688000,26.976552963256836
native_mlp_w480_240_120,MLP-C,11,137625600,27.795963287353516
native_mlp_w480_240_120,MLP-C,11,160563200,27.758190155029297
native_mlp_w480_240_120,MLP-C,11,183500800,27.66109275817871
native_mlp_w480_240_120,MLP-C,11,206438400,27.445096969604492
native_mlp_w480_240_120,MLP-C,11,229376000,28.209712982177734
native_mlp_w480_240_120,MLP-C,11,252313600,27.97890281677246
native_mlp_w480_240_120,MLP-C,11,275251200,28.229286193847656
native_mlp_w480_240_120,MLP-C,11,298188800,28.51768684387207
native_mlp_w480_240_120,MLP-C,11,321126400,28.31295394897461
native_mlp_w480_240_120,MLP-C,11,344064000,28.521316528320312
native_mlp_w480_240_120,MLP-C,11,367001600,28.174583435058594
native_mlp_w480_240_120,MLP-C,11,389939200,28.875308990478516
native_mlp_w480_240_120,MLP-C,11,412876800,28.738094329833984
native_mlp_w480_240_120,MLP-C,12,0,0.001951051875948906
native_mlp_w480_240_120,MLP-C,12,22937600,18.43622589111328
native_mlp_w480_240_120,MLP-C,12,45875200,19.863849639892578
native_mlp_w480_240_120,MLP-C,12,68812800,24.32406234741211
native_mlp_w480_240_120,MLP-C,12,91750400,26.998260498046875
native_mlp_w480_240_120,MLP-C,12,114688000,27.251510620117188
native_mlp_w480_240_120,MLP-C,12,137625600,27.683303833007812
native_mlp_w480_240_120,MLP-C,12,160563200,28.183971405029297
native_mlp_w480_240_120,MLP-C,12,183500800,28.17816162109375
native_mlp_w480_240_120,MLP-C,12,206438400,28.346105575561523
native_mlp_w480_240_120,MLP-C,12,229376000,28.11770248413086
native_mlp_w480_240_120,MLP-C,12,252313600,28.18545150756836
native_mlp_w480_240_120,MLP-C,12,275251200,28.80075454711914
native_mlp_w480_240_120,MLP-C,12,298188800,28.62567901611328
native_mlp_w480_240_120,MLP-C,12,321126400,28.464405059814453
native_mlp_w480_240_120,MLP-C,12,344064000,28.765193939208984
native_mlp_w480_240_120,MLP-C,12,367001600,28.394439697265625
native_mlp_w480_240_120,MLP-C,12,389939200,28.59828758239746
native_mlp_w480_240_120,MLP-C,12,412876800,28.740373611450195
native_mlp_w480_240_120,MLP-C,13,0,0.001294521614909172
native_mlp_w480_240_120,MLP-C,13,22937600,18.38286590576172
native_mlp_w480_240_120,MLP-C,13,45875200,18.972763061523438
native_mlp_w480_240_120,MLP-C,13,68812800,24.846412658691406
native_mlp_w480_240_120,MLP-C,13,91750400,26.516441345214844
native_mlp_w480_240_120,MLP-C,13,114688000,27.080005645751953
native_mlp_w480_240_120,MLP-C,13,137625600,27.847667694091797
native_mlp_w480_240_120,MLP-C,13,160563200,27.795381546020508
native_mlp_w480_240_120,MLP-C,13,183500800,27.91278839111328
native_mlp_w480_240_120,MLP-C,13,206438400,27.876495361328125
native_mlp_w480_240_120,MLP-C,13,229376000,27.953712463378906
native_mlp_w480_240_120,MLP-C,13,252313600,28.603879928588867
native_mlp_w480_240_120,MLP-C,13,275251200,27.990642547607422
native_mlp_w480_240_120,MLP-C,13,298188800,28.93872833251953
native_mlp_w480_240_120,MLP-C,13,321126400,28.404415130615234
native_mlp_w480_240_120,MLP-C,13,344064000,28.677532196044922
native_mlp_w480_240_120,MLP-C,13,367001600,28.628353118896484
native_mlp_w480_240_120,MLP-C,13,389939200,28.818805694580078
native_mlp_w480_240_120,MLP-C,13,412876800,28.739423751831055
pointwise_w252,MLP-D,11,0,0.0025993469171226025
pointwise_w252,MLP-D,11,22937600,14.050688743591309
pointwise_w252,MLP-D,11,45875200,18.826156616210938
pointwise_w252,MLP-D,11,68812800,20.349491119384766
pointwise_w252,MLP-D,11,91750400,21.186195373535156
pointwise_w252,MLP-D,11,114688000,21.326053619384766
pointwise_w252,MLP-D,11,137625600,22.914594650268555
pointwise_w252,MLP-D,11,160563200,23.892433166503906
pointwise_w252,MLP-D,11,183500800,23.93523406982422
pointwise_w252,MLP-D,11,206438400,23.541217803955078
pointwise_w252,MLP-D,11,229376000,25.145092010498047
pointwise_w252,MLP-D,11,252313600,25.389453887939453
pointwise_w252,MLP-D,11,275251200,24.42795753479004
